cid,area_poly,osm_points_per_poly,poi_density
133,1055596.1489257812,17,1.6104643823587183e-05
207,4794653.065185547,214,4.463305208751709e-05
203,790358.4916992188,28,3.5426961681403384e-05
18,904282.4841308594,24,2.6540379163782345e-05
31,439123.00634765625,0,0.0
66,3276516.647705078,9,2.7468195549391568e-06
41,2739190.4377441406,22,8.031570093431726e-06
313,729910.5183105469,89,0.00012193275445050398
28,2692117.989013672,7,2.6001832120904307e-06
88,1081629.7182617188,10,9.24530810421051e-06
285,781017.8420410156,53,6.786016547521673e-05
276,3008740.2653808594,21,6.979665291028945e-06
137,930056.607421875,1,1.075203371515212e-06
74,1226718.1850585938,156,0.00012716857213015777
59,2457258.7788085938,379,0.00015423690954672622
48,881905.4885253906,137,0.00015534544436170123
69,986924.1162109375,32,3.2423972091042276e-05
13,1630591.0769042969,4,2.4530981781122363e-06
60,1308506.412109375,112,8.559377238316367e-05
299,444221.27099609375,12,2.7013564598318216e-05
216,1094798.5397949219,54,4.932414324384768e-05
300,1368685.8254394531,48,3.507013743244424e-05
99,2754784.103515625,64,2.3232310625839575e-05
182,1503347.6728515625,1,6.651821252386626e-07
177,741175.4270019531,371,0.0005005562603453964
86,691913.1411132812,148,0.00021389968076320894
254,1020002.9055175781,16,1.568622982684657e-05
5,2512832.8947753906,25,9.948930568355451e-06
120,2139165.819091797,219,0.0001023763553276008
124,548768.2243652344,55,0.00010022446190943188
210,708661.1689453125,0,0.0
155,1235875.7353515625,113,9.143314070152492e-05
197,1708592.1040039062,27,1.580248435933207e-05
80,492727.99072265625,195,0.0003957558808745664
141,2199465.7875976562,15,6.819837837252106e-06
250,4004957.3735351562,45,1.1236074645228675e-05
157,1872044.3422851562,21,1.1217683003366171e-05
266,3812936.7143554688,11,2.884915440265685e-06
162,3060103.850830078,15,4.901794426333318e-06
127,2338399.3493652344,22,9.408144937250333e-06
7,5127223.955566406,1,1.950373162292517e-07
154,718287.1142578125,11,1.5314210406469584e-05
176,2290982.216064453,3,1.309482011236878e-06
37,2479444.07421875,81,3.2668613437277205e-05
200,1005114.3608398438,1,9.949116627529127e-07
